1	0
0.9915084	0.0005442
0.9731874	0.0017183
0.9494858	0.0032372
0.9238758	0.0048783
0.8980846	0.0065297
0.8728225	0.0081289
0.8472388	0.0095642
0.8212444	0.0110097
0.7951868	0.0124585
0.7692864	0.0138986
0.7439481	0.0152679
0.7186099	0.0164326
0.6926974	0.0176204
0.6666904	0.0188117
0.641044	0.0199843
0.6166485	0.0210595
0.5918852	0.0218659
0.5661011	0.0227178
0.540115	0.0235767
0.5144849	0.0244218
0.4897583	0.0251741
0.4643139	0.025699
0.4390085	0.0262205
0.4145288	0.0265312
0.3892888	0.0267766
0.3644032	0.0269568
0.3395185	0.0268713
0.3147992	0.0267922
0.2904722	0.0264406
0.2650462	0.0259126
0.2407306	0.0253841
0.2170458	0.0244613
0.1939845	0.0234878
0.1706831	0.0221285
0.1484067	0.0206174
0.125564	0.0187447
0.1040076	0.0165793
0.082471	0.0139997
0.062044	0.0108936
0.0449856	0.0079363
0.031797	0.0049511
0.0224931	0.0022473
0.0151706	-0.000339
0.0094395	-0.0023672
0.0052823	-0.0040719
0.0023656	-0.0058828
0.000377	-0.0079628
-0.0008438	-0.0103925
-0.0014235	-0.0130595
-0.0014335	-0.0157999
-0.0008749	-0.0184719
0.000321	-0.0209129
0.0022803	-0.0230042
0.00516	-0.0248224
0.0092664	-0.026526
0.0149404	-0.0285334
0.0222082	-0.0311075
0.0314131	-0.0338085
0.0444493	-0.0367826
0.0613666	-0.0397432
0.0817386	-0.042854
0.1032291	-0.0454478
0.1247955	-0.0476385
0.1476021	-0.049504
0.1698734	-0.0510407
0.193174	-0.052396
0.2161601	-0.053383
0.2396078	-0.0543053
0.2635472	-0.0547713
0.2889386	-0.0552242
0.3138331	-0.0556768
0.3379075	-0.0558482
0.3632839	-0.0557634
0.388931	-0.0556801
0.4137878	-0.0555356
0.4387819	-0.0550786
0.464536	-0.0545974
0.4899973	-0.0541154
0.5145613	-0.0533744
0.540129	-0.0525316
0.5661021	-0.0516732
0.5918844	-0.0508214
0.6166477	-0.0500149
0.6410433	-0.0489397
0.6666898	-0.0477671
0.6926969	-0.0465758
0.7186093	-0.0453881
0.7439472	-0.0442234
0.7692856	-0.0428541
0.7951863	-0.041414
0.821244	-0.0399652
0.8472387	-0.0385196
0.8728224	-0.0370844
0.8980846	-0.0354852
0.9238758	-0.0338337
0.9494858	-0.0321926
0.9731874	-0.0306737
0.9915084	-0.0294996
1	-0.0289554
