Ishii
1	0
0.9900603	0.0011354
0.968831	0.0035603
0.9455477	0.0062211
0.9223532	0.0087901
0.8989875	0.011289
0.8761266	0.0137448
0.854003	0.0157755
0.8305887	0.0176985
0.8071904	0.0196185
0.7844748	0.0212177
0.7611144	0.0227533
0.7380484	0.0242701
0.7150445	0.0254747
0.6919074	0.0266283
0.6694969	0.0274223
0.6462992	0.0279461
0.6232771	0.0283938
0.6001121	0.0285598
0.5769264	0.0287394
0.5540216	0.0292088
0.5310461	0.0296883
0.5089025	0.0304472
0.4855816	0.0313729
0.46251	0.0322891
0.4392894	0.0329508
0.4158381	0.0335985
0.3930621	0.0341309
0.3696937	0.0343684
0.3463808	0.0346091
0.3236487	0.0345809
0.3002527	0.0343375
0.2768869	0.0340911
0.2538473	0.0335914
0.2303338	0.0330319
0.2075494	0.0324149
0.184883	0.0313337
0.1618527	0.0302383
0.1408178	0.0290393
0.1206925	0.0272937
0.1016345	0.0249709
0.0836005	0.0218204
0.0646755	0.0174573
0.0468203	0.0126777
0.0296717	0.0063665
0.0169103	-0.0000309
0.0086093	-0.0056334
0.0038473	-0.0100721
0.0013287	-0.0136107
0.0001578	-0.016422
0	-0.0187858
0.0008834	-0.0208767
0.0029163	-0.0228921
0.0066359	-0.0250759
0.0136956	-0.0277169
0.0255654	-0.0308139
0.0414351	-0.0341694
0.0580567	-0.0369107
0.0770487	-0.0392286
0.0990703	-0.0410085
0.1199999	-0.0423569
0.1417666	-0.0430103
0.164762	-0.0437327
0.187676	-0.0441495
0.2109995	-0.0444723
0.2333486	-0.0445523
0.2562205	-0.0441773
0.2783611	-0.0438239
0.2999632	-0.042798
0.3226621	-0.0416915
0.3444382	-0.0402247
0.3677585	-0.0382385
0.3913115	-0.0362303
0.4148595	-0.0342029
0.4380531	-0.0322095
0.4608789	-0.0300212
0.4843241	-0.0277398
0.5078555	-0.0254606
0.5313959	-0.0231904
0.554537	-0.0209559
0.576845	-0.0190551
0.6001072	-0.0174248
0.6233669	-0.0157921
0.645591	-0.014425
0.6685512	-0.013535
0.6920164	-0.0126237
0.7148713	-0.0118113
0.7378747	-0.011394
0.7613971	-0.0109736
0.7843354	-0.010606
0.8069907	-0.0107282
0.8304991	-0.0108807
0.8536157	-0.0110425
0.8758637	-0.0117251
0.8992697	-0.0125118
0.9225846	-0.0132942
0.945338	-0.0142939
0.9686679	-0.0153821
0.9900068	-0.0163793
1	-0.0168463
